card_id,title,price_primary,price_secondary,location,labels,comment,description,exchange,scrap_date
104309289,"Продажа Lada (ВАЗ) 2121 Нива Legend, 2023 г. в Бобруйске",37 701 р.,≈ 13 000 $,"Бобруйск, Могилевская обл.",VIN,Niva Legent Urban|Новый !!!!!!!|Год выпуска 2023|На гарантии|Возможна продажа по безналу|Цена не включает 20% ндс|Все вопросы по телефону !|Срочно !,"2023 г., механика, 1.7 л, бензин, 500 км | внедорожник 3 дв., подключаемый полный привод, зелёный",Возможен обмен,2023-05-03 12:47:46
104324664,"Продажа Geely Emgrand II, 2023 г. в Минске",53 651 р.,≈ 18 500 $,Минск,VIN,"Абсолютно новый автомобиль. Находится в Минске. Без залогов, лизинга, и других моментов. официальная гарантия. Приобретался на Атлант-М Боровая, есть все подтверждающие документы.|Комплектация Standart.|Очень красивый лазурный цвет.|Из допов:|1. Ковры в салоне и багажнике;|2. Металическая сетка на радиаторе + передние брызговики;|3. Полная антикоррозийная обработка кузова;|4. Оклейка кузова - половина капота, передняя часть крыши, передние стойки, Антиманикюр, все пороги в салоне, верхняя часть заднего бампера.|Есть вайбер, ватсап, телеграм!|Салонам просьба не беспокоить!!!","2023 г., механика, 1.5 л, бензин, 139 км | седан, передний привод, другой",Обмен не интересует,2023-05-03 12:47:46
104422519,"Продажа Geely Emgrand II, 2023 г. в Минске",61 192 р.,≈ 21 100 $,Минск,VIN,Новый авто. В цене есть ндс!. Сделана вся антикаразийка. Машина проклеена прозрачной пленкой.,"2023 г., механика, 1.5 л, бензин, 325 км | седан, передний привод, белый",Обмен не интересует,2023-05-03 12:47:48
104277078,"Продажа Geely Atlas Pro, 2023 г. в Минске",83 812 р.,≈ 28 900 $,Минск,VIN,"Комплектация Luxury, передний привод, автомат aisin. Куплен у официального дилера в конце февраля. 2023 год выпуска, в багажнике идет мягкая обшивка с розеткой и сеткой. При покупке были куплены оригинальные коврики в багажник и салон. Наклеена защитная пленка на экран мультимедиа и часть крыши. Затем сделана полная антикоррозийная обработка с гарантией 5 лет. Автомобиль без обременений, куплен за собственные средства.","2023 г., автомат, 1.5 л, бензин, 600 км | внедорожник 5 дв., передний привод, белый",Обмен не интересует,2023-05-03 12:47:49
104313870,"Продажа Geely Coolray, 2023 г. в Минске",78 302 р.,≈ 27 000 $,Минск,VIN,Новый автомобиль|Комплектация FLAGSHIP DUAL,"2023 г., робот, 1.5 л, бензин, 1000 км | внедорожник 5 дв., передний привод, белый",Обмен не интересует,2023-05-03 12:47:49
104187872,"Продажа JAC JS4, 2023 г. в Минске",75 599 р.,≈ 26 068 $ c НДС,Минск,VIN,"JAC JS4 - переднеприводный пятидверный кроссовер, сочетающий в себе броский дизайн интерьера и экстерьера, современный и вместительный салон с эргономичными креслами, имеющими хорошо развитый боковой профиль и просторный багажник, а также производительную техническую составляющую.|Автомобиль находится на торговой площадке по адресу ул. Куприянова 2а.|Быстрый и выгодный обмена вашего автомобиля на новый|Полное сопровождение сделки и подбор вариантов финансирования|Гарантия 5 лет от официального дилера JAC на Куприянова|Тест-драйв в центре города","2023 г., вариатор, 1.5 л, бензин, 1 км | универсал, передний привод, чёрный",Возможен обмен,2023-05-03 12:47:50
104324096,"Продажа JAC JS4, 2023 г. в Минске",75 599 р.,≈ 26 068 $ c НДС,Минск,VIN,"JAC JS4 - переднеприводный пятидверный кроссовер, сочетающий в себе броский дизайн интерьера и экстерьера, современный и вместительный салон с эргономичными креслами, имеющими хорошо развитый боковой профиль и просторный багажник, а также производительную техническую составляющую.|Автомобиль находится на торговой площадке по адресу ул. Куприянова 2а.|Быстрый и выгодный обмена вашего автомобиля на новый|Полное сопровождение сделки и подбор вариантов финансирования|Гарантия 5 лет от официального дилера JAC на Куприянова|Тест-драйв в центре города","2023 г., вариатор, 1.5 л, бензин, 1 км | универсал, передний привод, белый",Возможен обмен,2023-05-03 12:47:51
104324093,"Продажа JAC JS4, 2023 г. в Минске",75 599 р.,≈ 26 068 $ c НДС,Минск,VIN,"JAC JS4 - переднеприводный пятидверный кроссовер, сочетающий в себе броский дизайн интерьера и экстерьера, современный и вместительный салон с эргономичными креслами, имеющими хорошо развитый боковой профиль и просторный багажник, а также производительную техническую составляющую.|Автомобиль находится на торговой площадке по адресу ул. Куприянова 2а.|Быстрый и выгодный обмена вашего автомобиля на новый|Полное сопровождение сделки и подбор вариантов финансирования|Гарантия 5 лет от официального дилера JAC на Куприянова|Тест-драйв в центре города","2023 г., вариатор, 1.5 л, бензин, 1 км | универсал, передний привод, белый",Возможен обмен,2023-05-03 12:47:52
104187874,"Продажа JAC JS4, 2023 г. в Минске",75 599 р.,≈ 26 068 $ c НДС,Минск,VIN,"JAC JS4 - переднеприводный пятидверный кроссовер, сочетающий в себе броский дизайн интерьера и экстерьера, современный и вместительный салон с эргономичными креслами, имеющими хорошо развитый боковой профиль и просторный багажник, а также производительную техническую составляющую.|Автомобиль находится на торговой площадке по адресу ул. Куприянова 2а.|Быстрый и выгодный обмена вашего автомобиля на новый|Полное сопровождение сделки и подбор вариантов финансирования|Гарантия 5 лет от официального дилера JAC на Куприянова|Тест-драйв в центре города","2023 г., вариатор, 1.5 л, бензин, 1 км | универсал, передний привод, чёрный",Возможен обмен,2023-05-03 12:47:52
104324135,"Продажа FAW Bestune T77 I, 2023 г. в Минске",85 990 р.,≈ 29 651 $ c НДС,Минск,VIN,"Faw Bestune T77  – надежный кроссовер, обладающий множеством современных функций и отличными ходовыми характеристиками. Автомобиль предоставляет водителю и пассажирам высокий уровень комфорта, а также является надежным в эксплуатации. Качественные материалы, высокая вместительность и хорошая маневренность. Модель хорошо показывает себя не только в городских условиях, но и в условиях бездорожья. FAW Bestune T77 является лучшим решением для тех, кто хочет получить универсальное транспортное средство для разных стилей жизни.|Автомобиль находится в автосалоне по адресу: ул. Куприянова 2а.|Быстрый и выгодный обмена вашего автомобиля на новый|Полное сопровождение сделки и подбор вариантов финансирования|Гарантия 5 лет от официального импортёра FAW на Куприянова, 2а|Тест-драйв в центре города","2023 г., робот, 1.5 л, бензин, 1 км | внедорожник 5 дв., передний привод, чёрный",Возможен обмен,2023-05-03 12:47:53
104339543,"Продажа JAC JS4, 2023 г. в Минске",75 599 р.,≈ 26 068 $ c НДС,Минск,VIN,"JAC JS4 - переднеприводный пятидверный кроссовер, сочетающий в себе броский дизайн интерьера и экстерьера, современный и вместительный салон с эргономичными креслами, имеющими хорошо развитый боковой профиль и просторный багажник, а также производительную техническую составляющую.|Автомобиль находится на торговой площадке по адресу ул. Куприянова 2а.|Быстрый и выгодный обмена вашего автомобиля на новый|Полное сопровождение сделки и подбор вариантов финансирования|Гарантия 5 лет от официального дилера JAC на Куприянова|Тест-драйв в центре города","2023 г., вариатор, 1.5 л, бензин, 1 км | универсал, передний привод, красный",Возможен обмен,2023-05-03 12:47:54
104339540,"Продажа JAC JS4, 2023 г. в Минске",75 599 р.,≈ 26 068 $ c НДС,Минск,VIN,"JAC JS4 - переднеприводный пятидверный кроссовер, сочетающий в себе броский дизайн интерьера и экстерьера, современный и вместительный салон с эргономичными креслами, имеющими хорошо развитый боковой профиль и просторный багажник, а также производительную техническую составляющую.|Автомобиль находится на торговой площадке по адресу ул. Куприянова 2а.|Быстрый и выгодный обмена вашего автомобиля на новый|Полное сопровождение сделки и подбор вариантов финансирования|Гарантия 5 лет от официального дилера JAC на Куприянова|Тест-драйв в центре города","2023 г., вариатор, 1.5 л, бензин, 1 км | универсал, передний привод, белый",Возможен обмен,2023-05-03 12:47:54
104339533,"Продажа JAC JS4, 2023 г. в Минске",75 599 р.,≈ 26 068 $ c НДС,Минск,VIN,"JAC JS4 - переднеприводный пятидверный кроссовер, сочетающий в себе броский дизайн интерьера и экстерьера, современный и вместительный салон с эргономичными креслами, имеющими хорошо развитый боковой профиль и просторный багажник, а также производительную техническую составляющую.|Автомобиль находится на торговой площадке по адресу ул. Куприянова 2а.|Быстрый и выгодный обмена вашего автомобиля на новый|Полное сопровождение сделки и подбор вариантов финансирования|Гарантия 5 лет от официального дилера JAC на Куприянова|Тест-драйв в центре города","2023 г., вариатор, 1.5 л, бензин, 1 км | универсал, передний привод, белый",Возможен обмен,2023-05-03 12:47:55
104324219,"Продажа FAW Bestune T77 I, 2023 г. в Минске",85 990 р.,≈ 29 651 $ c НДС,Минск,VIN,"Faw Bestune T77  – надежный кроссовер, обладающий множеством современных функций и отличными ходовыми характеристиками. Автомобиль предоставляет водителю и пассажирам высокий уровень комфорта, а также является надежным в эксплуатации. Качественные материалы, высокая вместительность и хорошая маневренность. Модель хорошо показывает себя не только в городских условиях, но и в условиях бездорожья. FAW Bestune T77 является лучшим решением для тех, кто хочет получить универсальное транспортное средство для разных стилей жизни.|Автомобиль находится в автосалоне по адресу: ул. Куприянова 2а.|Быстрый и выгодный обмена вашего автомобиля на новый|Полное сопровождение сделки и подбор вариантов финансирования|Гарантия 5 лет от официального импортёра FAW на Куприянова, 2а|Тест-драйв в центре города","2023 г., робот, 1.5 л, бензин, 1 км | внедорожник 5 дв., передний привод, чёрный",Возможен обмен,2023-05-03 12:47:55
104324101,"Продажа JAC JS4, 2023 г. в Минске",75 741 р.,≈ 26 117 $ c НДС,Минск,VIN,"JAC JS4 - переднеприводный пятидверный кроссовер, сочетающий в себе броский дизайн интерьера и экстерьера, современный и вместительный салон с эргономичными креслами, имеющими хорошо развитый боковой профиль и просторный багажник, а также производительную техническую составляющую.|Автомобиль находится на торговой площадке по адресу ул. Куприянова 2а.|Быстрый и выгодный обмена вашего автомобиля на новый|Полное сопровождение сделки и подбор вариантов финансирования|Гарантия 5 лет от официального дилера JAC на Куприянова|Тест-драйв в центре города","2023 г., вариатор, 1.5 л, бензин, 1 км | универсал, передний привод, красный",Возможен обмен,2023-05-03 12:47:56
104339546,"Продажа JAC JS4, 2023 г. в Минске",75 599 р.,≈ 26 068 $ c НДС,Минск,VIN,"JAC JS4 - переднеприводный пятидверный кроссовер, сочетающий в себе броский дизайн интерьера и экстерьера, современный и вместительный салон с эргономичными креслами, имеющими хорошо развитый боковой профиль и просторный багажник, а также производительную техническую составляющую.|Автомобиль находится на торговой площадке по адресу ул. Куприянова 2а.|Быстрый и выгодный обмена вашего автомобиля на новый|Полное сопровождение сделки и подбор вариантов финансирования|Гарантия 5 лет от официального дилера JAC на Куприянова|Тест-драйв в центре города","2023 г., вариатор, 1.5 л, бензин, 1 км | универсал, передний привод, красный",Возможен обмен,2023-05-03 12:47:57
